epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,610.452,1.37903,2.11233,1.42065,0.41667,0.47412,0.39922,0.24659,1.52448,1.7252,1.64725,0.000369786,0.000369786,0.000369786
2,1192.77,1.46723,1.62017,1.47117,0.83124,0.40673,0.45922,0.28217,1.45077,1.59115,1.5572,0.000729651,0.000729651,0.000729651
3,1763.09,1.43342,1.51903,1.45271,0.80295,0.4095,0.44896,0.27762,1.45571,1.65192,1.5874,0.00107904,0.00107904,0.00107904
4,2340.13,1.39636,1.46516,1.41033,0.83795,0.44665,0.50364,0.3094,1.40471,1.47799,1.51302,0.00106386,0.00106386,0.00106386
5,2912.01,1.31556,1.35434,1.3655,0.62472,0.58023,0.55684,0.34271,1.39539,1.28427,1.4763,0.00104815,0.00104815,0.00104815
6,3486.88,1.28496,1.3174,1.3555,0.48243,0.63004,0.56667,0.34829,1.29311,1.27519,1.41595,0.00103244,0.00103244,0.00103244
7,4053.5,1.24811,1.26481,1.32678,0.53678,0.66665,0.61473,0.38145,1.28768,1.17931,1.36757,0.00101672,0.00101672,0.00101672
8,4607.09,1.20869,1.21652,1.29964,0.44809,0.60013,0.58994,0.37934,1.22,1.17738,1.38021,0.00100101,0.00100101,0.00100101
9,5171.78,1.1845,1.19023,1.27888,0.54657,0.61956,0.61305,0.40133,1.18754,1.1413,1.34572,0.000985298,0.000985298,0.000985298
10,5746.25,1.1646,1.16005,1.27687,0.50598,0.70266,0.63348,0.41204,1.14858,1.09019,1.28566,0.000969586,0.000969586,0.000969586
11,6315.32,1.14576,1.12371,1.25805,0.58046,0.62645,0.62626,0.40495,1.15947,1.11806,1.30657,0.000953873,0.000953873,0.000953873
12,6879.57,1.11118,1.09504,1.23665,0.64444,0.69164,0.67345,0.44851,1.11401,1.01532,1.28202,0.00093816,0.00093816,0.00093816
13,7455.62,1.09673,1.07728,1.23495,0.64597,0.70918,0.69008,0.45075,1.09553,1.01275,1.27898,0.000922447,0.000922447,0.000922447
14,8027.29,1.0887,1.04955,1.22892,0.72984,0.68817,0.73712,0.47747,1.09473,0.98386,1.26568,0.000906735,0.000906735,0.000906735
15,8595.45,1.074,1.04234,1.21046,0.66743,0.65304,0.67441,0.4431,1.11378,1.03839,1.26546,0.000891022,0.000891022,0.000891022
16,9178.51,1.05214,1.00995,1.2004,0.6455,0.7054,0.70191,0.46692,1.05014,0.97934,1.24107,0.000875309,0.000875309,0.000875309
17,9750.95,1.04217,1.00362,1.19521,0.65031,0.71276,0.67254,0.46665,1.04436,0.9515,1.21475,0.000859597,0.000859597,0.000859597
18,10328.2,1.02559,0.98616,1.1835,0.65236,0.71889,0.72936,0.48409,1.02706,0.9363,1.21708,0.000843884,0.000843884,0.000843884
19,10905.8,1.01656,0.97602,1.18336,0.70035,0.66899,0.71498,0.49915,1.00744,0.93901,1.21199,0.000828171,0.000828171,0.000828171
20,11474.8,1.01704,0.95807,1.179,0.68167,0.7526,0.72652,0.49791,1.01528,0.90187,1.21005,0.000812458,0.000812458,0.000812458
21,12057.7,1.00891,0.96885,1.17826,0.67967,0.71599,0.7307,0.5031,1.00114,0.90184,1.17316,0.000796746,0.000796746,0.000796746
22,12631.8,0.97937,0.92893,1.15482,0.68633,0.75723,0.75797,0.52628,0.99458,0.87711,1.19119,0.000781033,0.000781033,0.000781033
23,13213.1,0.96692,0.91408,1.15156,0.69143,0.75928,0.76051,0.51966,0.97599,0.85914,1.17379,0.00076532,0.00076532,0.00076532
24,13788.3,0.97602,0.92676,1.15655,0.60044,0.74467,0.68865,0.48967,0.95904,0.88845,1.15442,0.000749608,0.000749608,0.000749608
25,14365.1,0.96353,0.92106,1.14755,0.60538,0.78215,0.7403,0.50396,0.99072,0.88131,1.18672,0.000733895,0.000733895,0.000733895
26,14939.7,0.94739,0.89639,1.1387,0.625,0.7582,0.72117,0.50302,0.97063,0.86637,1.16964,0.000718182,0.000718182,0.000718182
27,15514.3,0.93815,0.89082,1.1345,0.6759,0.7738,0.7533,0.53427,0.93885,0.8263,1.15329,0.000702469,0.000702469,0.000702469
28,16088.4,0.94059,0.89895,1.13749,0.61876,0.77189,0.71931,0.52417,0.92359,0.83094,1.14478,0.000686757,0.000686757,0.000686757
29,16663.1,0.91898,0.87234,1.12704,0.69878,0.77474,0.77777,0.54024,0.92889,0.81466,1.15008,0.000671044,0.000671044,0.000671044
30,17232.2,0.91474,0.86642,1.12243,0.66161,0.78484,0.72731,0.52426,0.91194,0.82227,1.1388,0.000655331,0.000655331,0.000655331
31,17809.7,0.92038,0.86678,1.12644,0.70343,0.8065,0.76809,0.54098,0.93409,0.78086,1.13,0.000639619,0.000639619,0.000639619
32,18379.6,0.9069,0.85215,1.11935,0.68917,0.78373,0.74739,0.55101,0.89524,0.7926,1.12412,0.000623906,0.000623906,0.000623906
33,18956.8,0.90329,0.84399,1.11896,0.73915,0.78981,0.75941,0.55916,0.89748,0.76959,1.1287,0.000608193,0.000608193,0.000608193
34,19524.2,0.90023,0.83631,1.11347,0.68311,0.79333,0.74946,0.5492,0.88097,0.7837,1.10887,0.00059248,0.00059248,0.00059248
35,20090.8,0.8803,0.82339,1.10391,0.68832,0.79572,0.7693,0.56752,0.85587,0.77091,1.10104,0.000576768,0.000576768,0.000576768
36,20661.2,0.88604,0.82394,1.10661,0.68263,0.79384,0.74401,0.54442,0.88437,0.78237,1.10708,0.000561055,0.000561055,0.000561055
37,21234.3,0.87876,0.81772,1.10018,0.68293,0.79479,0.76856,0.57061,0.85196,0.77708,1.09263,0.000545342,0.000545342,0.000545342
38,21812.8,0.87067,0.81768,1.09607,0.68967,0.80215,0.78342,0.58543,0.84378,0.76814,1.08478,0.00052963,0.00052963,0.00052963
39,22390.1,0.86968,0.82676,1.10298,0.71798,0.80888,0.7991,0.58838,0.86771,0.75073,1.10394,0.000513917,0.000513917,0.000513917
40,22973.8,0.86489,0.8072,1.10039,0.73438,0.79578,0.8073,0.61673,0.82854,0.71527,1.08204,0.000498204,0.000498204,0.000498204
41,23553.4,0.84801,0.79101,1.08705,0.71015,0.79671,0.80034,0.60337,0.82641,0.71761,1.07983,0.000482491,0.000482491,0.000482491
42,24111.5,0.84404,0.78228,1.08839,0.68801,0.81633,0.77087,0.5657,0.83226,0.74853,1.08568,0.000466779,0.000466779,0.000466779
43,24675.6,0.84262,0.76806,1.08152,0.70754,0.85036,0.80283,0.60819,0.81981,0.70301,1.07038,0.000451066,0.000451066,0.000451066
44,25241.1,0.83682,0.78108,1.08244,0.68953,0.81953,0.76089,0.56896,0.81696,0.73216,1.0681,0.000435353,0.000435353,0.000435353
45,25808.5,0.82904,0.77255,1.07836,0.69712,0.8306,0.79311,0.60224,0.80792,0.7146,1.05972,0.000419641,0.000419641,0.000419641
46,26390.9,0.83334,0.77895,1.07641,0.69477,0.83722,0.77478,0.59056,0.79807,0.7036,1.05762,0.000403928,0.000403928,0.000403928
47,26963.4,0.82323,0.76222,1.07466,0.71863,0.83381,0.77641,0.58778,0.81205,0.70712,1.06821,0.000388215,0.000388215,0.000388215
48,27539.7,0.82434,0.75961,1.07379,0.70799,0.83635,0.77348,0.58008,0.79915,0.71236,1.05262,0.000372502,0.000372502,0.000372502
49,28112.5,0.81425,0.75001,1.07403,0.74235,0.82582,0.82221,0.62221,0.79585,0.69079,1.05538,0.00035679,0.00035679,0.00035679
50,28695.2,0.80951,0.74116,1.06913,0.75247,0.78322,0.78724,0.59706,0.79499,0.69818,1.05842,0.000341077,0.000341077,0.000341077
51,29267.5,0.80668,0.75181,1.06598,0.70267,0.84064,0.79021,0.60548,0.77719,0.68836,1.04833,0.000325364,0.000325364,0.000325364
52,29833.6,0.79438,0.74483,1.05947,0.72786,0.82473,0.80767,0.61932,0.77106,0.69017,1.04661,0.000309652,0.000309652,0.000309652
53,30408.3,0.79234,0.73238,1.05618,0.71471,0.82917,0.77234,0.58679,0.78018,0.69451,1.04873,0.000293939,0.000293939,0.000293939
54,30977.8,0.7776,0.7192,1.05349,0.7112,0.85949,0.78677,0.6002,0.77336,0.67773,1.04718,0.000278226,0.000278226,0.000278226
55,31556.3,0.76938,0.71343,1.04619,0.71983,0.8499,0.77585,0.59428,0.77609,0.68457,1.03998,0.000262513,0.000262513,0.000262513
56,32128.3,0.76803,0.70646,1.04374,0.72349,0.8588,0.78845,0.60644,0.75444,0.67213,1.02912,0.000246801,0.000246801,0.000246801
57,32697.4,0.75964,0.7106,1.03935,0.71149,0.84951,0.77695,0.59822,0.75517,0.68059,1.03164,0.000231088,0.000231088,0.000231088
58,33281,0.76073,0.70805,1.04201,0.73156,0.83592,0.80985,0.61948,0.77065,0.66021,1.037,0.000215375,0.000215375,0.000215375
59,33849.5,0.75689,0.70195,1.03947,0.70963,0.86882,0.77817,0.60154,0.75424,0.67046,1.0332,0.000199663,0.000199663,0.000199663
60,34423.2,0.74973,0.69465,1.03388,0.72371,0.84798,0.79753,0.61657,0.75452,0.66056,1.03023,0.00018395,0.00018395,0.00018395
61,34985.3,0.7001,0.61074,1.01051,0.71503,0.85167,0.77091,0.59879,0.75469,0.67306,1.02651,0.000168237,0.000168237,0.000168237
62,35549.6,0.68378,0.60171,1.0011,0.72563,0.85375,0.79184,0.61766,0.73864,0.65995,1.0186,0.000152524,0.000152524,0.000152524
63,36109.8,0.68086,0.59553,0.99497,0.72057,0.85961,0.77653,0.60597,0.74615,0.66743,1.02398,0.000136812,0.000136812,0.000136812
64,36675.9,0.66497,0.58457,0.99133,0.72162,0.8641,0.8026,0.62571,0.73912,0.65561,1.01924,0.000121099,0.000121099,0.000121099
65,37245.8,0.66362,0.58267,0.98743,0.73043,0.84896,0.801,0.62135,0.73531,0.65013,1.01568,0.000105386,0.000105386,0.000105386
66,37816.2,0.65078,0.57638,0.98327,0.71817,0.87673,0.81406,0.63464,0.72825,0.64319,1.01265,8.96736e-05,8.96736e-05,8.96736e-05
67,38383,0.64914,0.57098,0.98055,0.73239,0.85631,0.80881,0.63358,0.72046,0.63651,1.0072,7.39609e-05,7.39609e-05,7.39609e-05
68,38942.1,0.64257,0.56549,0.97845,0.73222,0.85584,0.8181,0.64449,0.7143,0.63425,1.00816,5.82481e-05,5.82481e-05,5.82481e-05
69,39510.1,0.63357,0.5647,0.97097,0.72351,0.86815,0.81983,0.64376,0.71941,0.6348,1.01226,4.25354e-05,4.25354e-05,4.25354e-05
70,40073.4,0.62273,0.55691,0.97094,0.73133,0.86383,0.82729,0.64998,0.717,0.63028,1.00896,2.68227e-05,2.68227e-05,2.68227e-05
